sep=,
1,omar,omar,omar@email.com,omar
2,romar,romar,romar@gmail.com,romar
3,angelo,angelo,angelo@gmail.com,angelo
4,hi,hi,hi@gemail.com,hi
5,hello,hello,hello@gmail.com,hello
6,nani,nani,nani@gmail.com,nani
7,itai,itai,itai@gmail.com,aguy
8,yabe,yabe,yabe@gmail.com,yabai
9,kata,kata,kata@gmail.com,katai
10,nakadash,nakadash,nakadash@gmail.com,sige
11,ichi,ichi,ichi@gmail.com,one
12,ni,ni,ni@gmail.com,two
13,san,san,san@gmail.com,three
14,yon,yon,yon@gmail.com,four
1,hahaha,hahaha,hahah,gahah
2,kakka,hahaha,a,

1,,,,
1,,,,
